"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789469635404038510","Sun May 12 01:36:22 +0000 2024","0","Dukungan Penetapan KPU Terhadap Prabowo-Gibran Sebagai Presiden Terpilih 2024 https://t.co/Pf0zUiALzK","1789469635404038510","https://pbs.twimg.com/media/GNV5JbEaIAEZWCi.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1789469635404038510","550250097","maureenanico"
"1789469599559503921","Sun May 12 01:36:13 +0000 2024","0","Dukungan Penetapan KPU Terhadap Prabowo-Gibran Sebagai Presiden Terpilih 2024 https://t.co/qH9KowOjQ9","1789469599559503921","https://pbs.twimg.com/media/GNV5HdfbUAAkP-g.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1789469599559503921","550250097","maureenanico"
"1789469568722960503","Sun May 12 01:36:06 +0000 2024","0","Dukungan Penetapan KPU Terhadap Prabowo-Gibran Sebagai Presiden Terpilih 2024 https://t.co/lqVoDlhFnU","1789469568722960503","https://pbs.twimg.com/media/GNV5FrMaYAEfvyF.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1789469568722960503","550250097","maureenanico"
"1789469560007192851","Sun May 12 01:36:04 +0000 2024","0","Dukungan Penetapan KPU Terhadap Prabowo-Gibran Sebagai Presiden Terpilih 2024 https://t.co/NEYDNvVcBB","1789469560007192851","https://pbs.twimg.com/media/GNV5FHsa4AAbfYu.jpg","","in","","0","0","0","https://twitter.com/maureenanico/status/1789469560007192851","550250097","maureenanico"
"1789329393359446446","Sat May 11 16:19:06 +0000 2024","0","Relawan Untuk Majukan Indonesia (RUMI) menggelar rapimnas dan tasyakuran kemenangan Prabowo Subianto dan Gibran Rakabuming Raka sebagai Presiden dan Wakil Presiden terpilih 2024-2029. #prabowogibran https://t.co/RWG7CLfJT2","1789329393359446446","https://pbs.twimg.com/media/GNT5lmfasAA2CgC.jpg","","in","Jawa Tengah, Indonesia","0","0","0","https://twitter.com/kristinhapsari7/status/1789329393359446446","1640261697297326081","kristinhapsari7"
"1789319471477203286","Sat May 11 15:39:40 +0000 2024","0","Inilah Peluang PDIP Jegal Pelantikan Prabowo-Gibran Lewat PTUN dan MPR Presiden dan Wakil Presiden Terpilih Bisa Batal Diangkat? https://t.co/kDrBXZVygS https://t.co/kDrBXZVygS","1789319471477203286","","","in","indonesia","0","0","0","https://twitter.com/posaktualcom/status/1789319471477203286","1636627729675337734","posaktualcom"
"1789318295725789545","Sat May 11 15:35:00 +0000 2024","462","PDIP Bakal Jegal Pelantikan Prabowo-Gibran Lewat Dua Cara Ini Presiden dan Wapres Terpilih Bisa Batal Diangkat? https://t.co/cKQrfo3fXi","1789318295725789545","","","in","Indonesia","12","90","161","https://twitter.com/democrazymedia/status/1789318295725789545","1243804423001763841","democrazymedia"
"1789317017935429973","Sat May 11 15:29:55 +0000 2024","0","PDIP Bakal Jegal Pelantikan Prabowo-Gibran Lewat Dua Cara Ini Presiden dan Wapres Terpilih Bisa Batal Diangkat? https://t.co/idrQy1qM6I","1789317017935429973","","","in","","0","0","0","https://twitter.com/RepelitaO/status/1789317017935429973","1225432911899324419","RepelitaO"
"1789299731262513278","Sat May 11 14:21:14 +0000 2024","1","https://t.co/Rj2EVH3ZcS *Prabowo Gibran Resmi Ditetapkan KPU Sebagai Presiden dan Wakil Presiden RI Terpilih 2024-2029 _ INGAT SUMUT Pak _* Ketum RAPS 08 Dr.JS Simatupang SH. MA. *KLIK SUBSCRIBE LIKE &amp; SHARE KOMEN TABE* @DR.JS.SIMATUPANG #prabowogibran2024","1789299731262513278","","","in","","0","0","0","https://twitter.com/HeppyTampubolo1/status/1789299731262513278","1316049572314013696","HeppyTampubolo1"
"1789299605584421098","Sat May 11 14:20:44 +0000 2024","1","https://t.co/rVBYXfnfxS *Prabowo Gibran Resmi Ditetapkan KPU Sebagai Presiden dan Wakil Presiden RI Terpilih 2024-2029 _ INGAT SUMUT Pak _* Ketum RAPS 08 Dr.JS Simatupang SH. MA. *KLIK SUBSCRIBE LIKE &amp; SHARE KOMEN TABE* @DR.JS.SIMATUPANG #prabowogibran2024","1789299605584421098","","","in","","0","0","0","https://twitter.com/HeppyTampu5387/status/1789299605584421098","1685057188598071296","HeppyTampu5387"
